Name,Phone,Email,Purchase Date,Purchase Source,Tickets Purchased,Ticket Type,Festival
Lakeisha Pletcher,(800) 555-0164,lakeishapletcher@cirrus.com,10/10/13,3rd Party Ticket Vendor,2,General Admission,
Tyrell Gunther,(913) 555-0164,tyrellgunther@cirrus.com,10/11/13,3rd Party Ticket Vendor,4,General Admission,
Monte Scharff,(211) 555-0164,montescharff@cirrus.com,10/12/13,3rd Party Ticket Vendor,1,General Admission,
Gwendolyn Royals,(826) 555-0164,gwendolynroyals@cirrus.com,10/13/13,3rd Party Ticket Vendor,1,General Admission,
Raina Quayle,(364) 555-0164,rainaquayle@cirrus.com,10/14/13,3rd Party Ticket Vendor,1,General Admission,
Mellissa Lavender,(360) 555-0164,mellissalavender@cirrus.com,10/15/13,3rd Party Ticket Vendor,1,General Admission,
Dan Hawes,(592) 555-0164,danhawes@cirrus.com,10/16/13,3rd Party Ticket Vendor,6,General Admission,
Pearl Willson,(366) 555-0164,pearlwillson@cirrus.com,10/17/13,3rd Party Ticket Vendor,4,General Admission,
Damion Halsey,(732) 555-0164,damionhalsey@cirrus.com,10/18/13,3rd Party Ticket Vendor,2,General Admission,
Ty Krier,(726) 555-0164,tykrier@cirrus.com,10/19/13,3rd Party Ticket Vendor,3,General Admission,
Britney Zook,(443) 555-0164,britneyzook@cirrus.com,10/20/13,3rd Party Ticket Vendor,5,General Admission,
Adrian Newsom,(605) 555-0164,adriannewsom@cirrus.com,10/21/13,3rd Party Ticket Vendor,1,General Admission,
Megan Salyer,(246) 555-0164,megansalyer@cirrus.com,10/22/13,3rd Party Ticket Vendor,1,General Admission,
Sarah Vickery,(333) 555-0164,sarahvickery@cirrus.com,10/23/13,3rd Party Ticket Vendor,1,General Admission,
Alisha Claude,(245) 555-0164,alishaclaude@cirrus.com,10/24/13,3rd Party Ticket Vendor,1,General Admission,
Rebeca Mccrory,(733) 555-0164,rebecamccrory@cirrus.com,10/25/13,3rd Party Ticket Vendor,1,General Admission,
Andrae Fulcher,(416) 555-0164,andraefulcher@cirrus.com,10/26/13,3rd Party Ticket Vendor,2,General Admission,
Dorothy Shain,(582) 555-0164,dorothyshain@cirrus.com,10/27/13,3rd Party Ticket Vendor,3,General Admission,
Justine Homan,(894) 555-0164,justinehoman@cirrus.com,10/28/13,3rd Party Ticket Vendor,5,General Admission,
Wayne Rey,(765) 555-0164,waynerey@cirrus.com,9/10/13,3rd Party Ticket Vendor,2,General Admission,
Miguel Braswell,(957) 555-0164,miguelbraswell@cirrus.com,9/11/13,3rd Party Ticket Vendor,4,General Admission,
Lionel Nolen,(359) 555-0164,lionelnolen@cirrus.com,9/12/13,3rd Party Ticket Vendor,3,General Admission,
Louis Yu,(406) 555-0164,louisyu@cirrus.com,9/13/13,3rd Party Ticket Vendor,3,General Admission,
Brittney Tannehill,(875) 555-0164,brittneytannehill@cirrus.com,9/14/13,3rd Party Ticket Vendor,3,General Admission,
Beth Hillhouse,(519) 555-0164,bethhillhouse@cirrus.com,9/15/13,3rd Party Ticket Vendor,1,General Admission,
Jennifer Presswood,(326) 555-0164,jenniferpresswood@cirrus.com,9/16/13,3rd Party Ticket Vendor,2,General Admission,
Leigh Andrew,(556) 555-0164,leighandrew@cirrus.com,9/17/13,3rd Party Ticket Vendor,3,General Admission,
Genaro Brassfield,(421) 555-0164,genarobrassfield@cirrus.com,9/18/13,3rd Party Ticket Vendor,4,General Admission,
Jamie Genest,(228) 555-0164,jamiegenest@cirrus.com,9/19/13,3rd Party Ticket Vendor,1,General Admission,
Carolyn Gridley,(924) 555-0164,carolyngridley@cirrus.com,9/20/13,3rd Party Ticket Vendor,2,General Admission,
Jody Maxfield,(466) 555-0164,jodymaxfield@cirrus.com,9/21/13,3rd Party Ticket Vendor,6,General Admission,
Vanessa Mccaffery,(897) 555-0164,vanessamccaffery@cirrus.com,9/22/13,3rd Party Ticket Vendor,3,General Admission,
Jeramy Rodman,(447) 555-0164,jeramyrodman@cirrus.com,9/23/13,3rd Party Ticket Vendor,4,General Admission,
Shay Dulaney,686-455-4234,shaydulaney@cirrus.com,9/24/13,3rd Party Ticket Vendor,3,General Admission,
Charlene Reiber,(253) 555-0164,charlenereiber@cirrus.com,9/25/13,3rd Party Ticket Vendor,3,General Admission,
Rhett Bissett,(211) 555-0164,rhettbissett@cirrus.com,9/26/13,3rd Party Ticket Vendor,3,General Admission,
Reagan Topps,(761) 555-0164,reagantopps@cirrus.com,9/27/13,3rd Party Ticket Vendor,2,General Admission,
Juliana Silvis,(826) 555-0164,julianasilvis@cirrus.com,9/28/13,3rd Party Ticket Vendor,2,General Admission,
Julia Robins,(521) 555-0164,juliarobins@cirrus.com,9/29/13,3rd Party Ticket Vendor,2,General Admission,
Jarrett Breedlove,(632) 555-0164,jarrettbreedlove@cirrus.com,9/30/13,3rd Party Ticket Vendor,4,General Admission,
Dewey Wein,(853) 555-0164,deweywein@cirrus.com,10/1/13,3rd Party Ticket Vendor,4,General Admission,
Elisabeth Reardon,(494) 555-0164,elisabethreardon@cirrus.com,10/2/13,3rd Party Ticket Vendor,1,General Admission,
Katherine Slayden,(800) 555-0164,katherineslayden@cirrus.com,10/3/13,3rd Party Ticket Vendor,1,General Admission,
Lynette Plaster,(564) 555-0164,lynetteplaster@cirrus.com,10/4/13,3rd Party Ticket Vendor,1,General Admission,
Edith Mcintire,(860) 555-0164,edithmcintire@cirrus.com,10/5/13,3rd Party Ticket Vendor,1,General Admission,
Charla Lecroy,(955) 555-0164,charlalecroy@cirrus.com,10/6/13,3rd Party Ticket Vendor,2,General Admission,
Bradford Lawhon,(560) 555-0164,bradfordlawhon@cirrus.com,10/7/13,3rd Party Ticket Vendor,3,General Admission,
Shannon Steptoe,(343) 555-0164,shannonsteptoe@cirrus.com,10/8/13,3rd Party Ticket Vendor,4,General Admission,
Brennan Towles,(858) 555-0164,brennantowles@cirrus.com,10/9/13,3rd Party Ticket Vendor,5,General Admission,
Darwin Munk,(984) 555-0164,darwinmunk@cirrus.com,10/10/13,3rd Party Ticket Vendor,5,General Admission,
Hollie Everhart,579-469-1048,hollieeverhart@cirrus.com,10/11/13,3rd Party Ticket Vendor,1,General Admission,
Tisha Goetz,(385) 555-0164,tishagoetz@cirrus.com,10/12/13,3rd Party Ticket Vendor,3,General Admission,
Debra Boehme,(642) 555-0164,debraboehme@cirrus.com,10/13/13,3rd Party Ticket Vendor,2,General Admission,
Mellissa Harwood,(275) 555-0164,mellissaharwood@cirrus.com,7/1/13,3rd Party Ticket Vendor,1,General Admission,
Jennie Lively,(338) 555-0164,jennielively@cirrus.com,7/2/13,3rd Party Ticket Vendor,2,General Admission,
Eddie Kerry,(827) 555-0164,eddiekerry@cirrus.com,7/3/13,3rd Party Ticket Vendor,4,General Admission,
Celina Lincoln,(358) 555-0164,celinalincoln@cirrus.com,7/4/13,3rd Party Ticket Vendor,1,General Admission,
Florence Wrobel,(701) 555-0164,florencewrobel@cirrus.com,7/5/13,3rd Party Ticket Vendor,1,General Admission,
Maxwell Carone,(841) 555-0164,maxwellcarone@cirrus.com,7/6/13,3rd Party Ticket Vendor,1,General Admission,
Darwin Ashford,(794) 555-0164,darwinashford@cirrus.com,7/7/13,3rd Party Ticket Vendor,1,General Admission,
Gene Blank,(422) 555-0164,geneblank@cirrus.com,7/8/13,3rd Party Ticket Vendor,6,General Admission,
Susanna Yocum,(591) 555-0164,susannayocum@cirrus.com,7/9/13,3rd Party Ticket Vendor,4,General Admission,
Dante Marcellus,(906) 555-0164,dantemarcellus@cirrus.com,7/10/13,3rd Party Ticket Vendor,2,General Admission,
Hunter Oles,(810) 555-0164,hunteroles@cirrus.com,7/11/13,3rd Party Ticket Vendor,3,General Admission,
Bettina Swarts,(711) 555-0164,bettinaswarts@cirrus.com,7/12/13,3rd Party Ticket Vendor,5,General Admission,
Tracy Millwood,(311) 555-0164,tracymillwood@cirrus.com,7/13/13,3rd Party Ticket Vendor,1,General Admission,
Jesus Beedle,(344) 555-0164,jesusbeedle@cirrus.com,7/14/13,3rd Party Ticket Vendor,1,General Admission,
Kristin Sease,(691) 555-0164,kristinsease@cirrus.com,7/15/13,3rd Party Ticket Vendor,1,General Admission,
David Duckett,(630) 555-0164,davidduckett@cirrus.com,7/16/13,Official Website,1,General Admission,
Damion Mcgoldrick,(307) 555-0164,damionmcgoldrick@cirrus.com,7/17/13,Official Website,1,General Admission,
Joanne Dupont,(666) 555-0164,joannedupont@cirrus.com,7/18/13,Official Website,2,General Admission,
Lori Gaiser,(927) 555-0164,lorigaiser@cirrus.com,7/19/13,Official Website,3,General Admission,
Dina Ohagan,(844) 555-0164,dinaohagan@cirrus.com,7/20/13,Official Website,5,General Admission,
Shawanda Knopf,(267) 555-0164,shawandaknopf@cirrus.com,7/21/13,Official Website,2,General Admission,
Brad Owens,510 999 8888,owens@power.com,7/1/13,Official Website,4,General Admission,
Tammy Reseller,(415) 901-7000,trese@genwatt.com,7/2/13,Official Website,3,General Admission,
Green Don,(484) 555-0164,greendon@cirrus.com,7/3/13,Official Website,3,General Admission,
John Stivender,(475) 555-0164,johnstivender@cirrus.com,7/4/13,Official Website,3,General Admission,
Lea Bolivar,(902) 555-0164,leabolivar@cirrus.com,7/5/13,Official Website,1,General Admission,
Siobhan Hibbard,(829) 555-0164,siobhanhibbard@cirrus.com,7/6/13,Official Website,2,General Admission,
Adan Horst,(259) 555-0164,adanhorst@cirrus.com,7/7/13,Official Website,3,General Admission,
Rick Mui,(422) 555-0164,rickmui@cirrus.com,7/8/13,Official Website,4,General Admission,
Yolanda Ashworth,(598) 555-0164,yolandaashworth@cirrus.com,7/9/13,Official Website,1,General Admission,
Lorraine Boettcher,(569) 555-0164,lorraineboettcher@cirrus.com,7/10/13,Official Website,2,General Admission,
Keli Chance,(805) 555-0164,kelichance@cirrus.com,7/11/13,Official Website,6,General Admission,
Rosa Abelin*,(607) 555-0164,rosaabelin@cirrus.com,7/12/13,Official Website,3,General Admission,
Kathryn Grisham,(540) 555-0164,kathryngrisham@cirrus.com,7/13/13,Official Website,4,General Admission,
Garrett Lavoie,(546) 555-0164,garrettlavoie@cirrus.com,7/14/13,Official Website,3,General Admission,
Stacy Mcewan,(710) 555-0164,stacymcewan@cirrus.com,7/15/13,Official Website,3,General Admission,
Summer Nitz,(597) 555-0164,summernitz@cirrus.com,7/16/13,Official Website,3,General Admission,
Star Orvis,(385) 555-0164,starorvis@cirrus.com,7/17/13,Official Website,2,General Admission,
Quinn Poirier,(261) 555-0164,quinnpoirier@cirrus.com,7/18/13,Official Website,2,General Admission,
Jennie Acuna,(882) 555-0164,jennieacuna@cirrus.com,7/19/13,Official Website,2,General Admission,
Darla Rio,(710) 555-0164,darlario@cirrus.com,7/20/13,Official Website,4,General Admission,
Jeramy Chew,(556) 555-0164,jeramychew@cirrus.com,7/21/13,Official Website,4,General Admission,
Renita Herrick,(895) 555-0164,renitaherrick@cirrus.com,7/22/13,Official Website,1,General Admission,
Lucinda Gainey,(432) 555-0164,lucindagainey@cirrus.com,8/10/13,Official Website,1,General Admission,
Neil Torkelson,(599) 555-0164,neiltorkelson@cirrus.com,8/11/13,Official Website,1,General Admission,
Lee Ortis,(428) 555-0164,leeortis@cirrus.com,8/12/13,Official Website,1,General Admission,
Tiffany Quillen,(835) 555-0164,tiffanyquillen@cirrus.com,8/13/13,Official Website,2,General Admission,
Tami Warford,(587) 555-0164,tamiwarford@cirrus.com,8/14/13,Official Website,3,General Admission,
Tristan Isaacs,(790) 555-0164,tristanisaacs@cirrus.com,8/15/13,Official Website,4,General Admission,
Diane Fabela,(765) 555-0164,dianefabela@cirrus.com,8/16/13,Official Website,5,General Admission,
Colleen Cohn,(571) 555-0164,colleencohn@cirrus.com,8/17/13,Official Website,5,General Admission,
Lloyd Archibald,801-629-8329,lloydarchibald@cirrus.com,8/18/13,Official Website,1,General Admission,
Bonnie Barra,261-457-1354,bonniebarra@cirrus.com,8/19/13,Official Website,3,General Admission,
Jess Moeller,(592) 555-0164,jessmoeller@cirrus.com,8/20/13,Official Website,2,General Admission,
Stacy Morehead,(401) 555-0164,stacymorehead@cirrus.com,9/10/13,Official Website,1,General Admission,
Tenisha Mabery,(583) 555-0164,tenishamabery@cirrus.com,9/11/13,Official Website,2,General Admission,
Loren Mark,(663) 555-0164,lorenmark@cirrus.com,9/12/13,Official Website,4,General Admission,
Brannon Toliver,(923) 555-0164,brannontoliver@cirrus.com,9/13/13,Official Website,1,General Admission,
Emil Perera,(949) 555-0164,emilperera@cirrus.com,9/14/13,Official Website,1,General Admission,
Betty Lenz,(274) 555-0164,bettylenz@cirrus.com,9/15/13,Official Website,1,General Admission,
Kelsey Bedard,(608) 555-0164,kelseybedard@cirrus.com,9/16/13,Official Website,1,General Admission,
Ben Seale,(913) 555-0164,benseale@cirrus.com,9/17/13,Official Website,6,General Admission,
Brandy Piche,(457) 555-0164,brandypiche@cirrus.com,9/18/13,Box Office,4,General Admission,
Kerrie Lorenzo,(306) 555-0164,kerrielorenzo@cirrus.com,9/19/13,Box Office,2,General Admission,
Kimberlee Jankowski,(334) 555-0164,kimberleejankowski@cirrus.com,9/20/13,Box Office,3,General Admission,
Sally Spurrier,(651) 555-0164,sallyspurrier@cirrus.com,9/21/13,Box Office,5,General Admission,
